UserId,Product2Id,ProductName
0052x000003qyGIAAY,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000003XjMPAA0,01t2x000001v9thAAA,SLI LEARNING SEARCH STANDARD STANDARD
0052x000002PZH9AAO,01t2x000001DpbPAAS,BiznessApps:Individual:Standard:Standard
0052x000002QDFSAA4,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000002QDFXAA4,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x000003XUjxAAG,01t2x000000Jo9nAAC,Kayako OnPremise KC CASE SILVER
0052x000003XjMPAA0,01t2x000003PwjjAAC,"Smart Routines Subscription, STANDARD EDITION, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000003PwjpAAC,"Smart Routines Subscription, STANDARD EDITION"
0052x0000049BoSAAU,01t2x000002BskyAAC,"Pivotal Term User License, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002Cm2IAAS,"Pivotal Term User License, STANDARD EDITION"
0052x000003XjMPAA0,01t2x000003PwjqAAC,"Smart Routines Subscription, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002Cm2NAAS,"Pivotal Term User License, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000002BuF3AAK,"Pivotal Term User License MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000002Cm2NAAS,"Pivotal Term User License, STANDARD SUCCESS"
0052x00000224r5AAA,01t2x000001E1mHAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION, PLATINUM SUCCESS"
0052x00000224r5AAA,01t2x000001E1nKAAS,"DNN Non-Production License EVOQ Content, ADD-ON, Platinum support"
0052x000003XjMPAA0,01t2x000001v9trAAA,SLI LEARNING SEARCH STANDARD PLATINUM
0052x000003ibFqAAI,01t2x000002Cg4qAAC,Jive Extension Packs
0052x000001zqnXAAQ,01t2x000001DpbPAAS,BiznessApps:Individual:Standard:Standard
0052x00000497TrAAI,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x0000057ORLAA2,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x0000057OQDAA2,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x0000058tDvAAI,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x0000057OQrAAM,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x000003dwcDAAQ,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x0000057ORBAA2,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x000003qyGIAAY,01t2x000000Jo9nAAC,Kayako OnPremise KC CASE SILVER
0052x000002Q1BbAAK,01t2x000003Pnc9AAC,"DNN Production License EVOQ, STANDARD EDITION"
0052x00000224qvAAA,01t2x000001E1knAAC,"DNN OnDemand EVOQ, PROFESSIONAL EDITION, STANDARD SUCCESS"
0052x000002QDFcAAO,01t2x000001E1lsAAC,"DNN Production EVOQ, STANDARD EDITION, STANDARD SUCCESS"
0052x000002QDFcAAO,01t2x000001E1mqAAC,"DNN Non-Production License EVOQ Basic, ADD-ON, Standard support"
0052x0000057AtbAAE,01t2x000003PssCAAS,"BroadVision QuickSilver, PLATINUM SUCCESS"
0052x000002Q1BbAAK,01t2x00000269exAAA,"Finserv Product(AIS) Aurea Insurance Solutions Hosted, STANDARD EDITION"
0052x000002Q1BbAAK,01t2x00000269f2AAA,"Finserv Product(AIS) Aurea Insurance Solutions Hosted, PLATINUM SUCCESS"
0052x000002Q1BbAAK,01t2x000002CmgQAAS,"MessageOne AlertFind, STANDARD EDITION"
0052x000002V6t4AAC,01t2x000002CmgJAAS,"MessageOne AlertFind, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003PnghAAC,"Autotrol Tech Illustrator, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003PnccAAC,"DNN Non-Production License EVOQ, PLATINUM SUCCESS"
0052x000003dwcIAAQ,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x000002Q1BbAAK,01t2x0000026DOHAA2,"Playbooks, STANDARD SUCCESS"
0052x000003dwcIAAQ,01t2x000002CJ5oAAG,"ACRM CRM On-Premise, ENTERPRISE EDITION, STANDARD SUCCESS"
0052x000003dwcIAAQ,01t2x0000026EqyAAE,"ACRM CRM On-Premise, ENTERPRISE EDITION"
0052x000003dwcIAAQ,01t2x0000026Er1AAE,"ACRM CRM On-Premise, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003PncaAAC,"DNN Non-Production License EVOQ, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x0000026DOKAA2,"Playbooks Telephony, ADD-ON"
0052x0000057xOBAAY,01t2x000003Px9LAAS,"Lyris (AEM) List Manager MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000057xOBAAY,01t2x000003Px9HAAS,"Lyris (AEM) List Manager, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x000003PtGiAAK,"AnswerHub Internal (Number of Users) - SaaS, STANDARD EDITION"
0052x0000049BoSAAU,01t2x000002CmgJAAS,"MessageOne AlertFind, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002CmgQAAS,"MessageOne AlertFind, STANDARD EDITION"
0052x0000049BoSAAU,01t2x000002CmgRAAS,"MessageOne AlertFind, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000003PsJ8AAK,"Mobilogy Software Full, PROFESSIONAL EDITION, PLATINUM SUCCESS"
